Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,Hundred,Fifty,Zero,Fours,Sixes,Cluster
DR Smith ,2006-2015,33,32,0,582,72,18.18,474,122.78,0,3,1,62,31,3
SB Styris ,2005-2010,31,29,2,578,66,21.4,483,119.66,0,1,0,40,25,3
ADS Fletcher ,2008-2016,32,31,4,576,84,21.33,540,106.66,0,5,5,39,27,3
JA Morkel ,2005-2015,50,38,11,572,43,21.18,402,142.28,0,0,1,29,39,3
MN Waller ,2011-2016,28,27,5,567,68,25.77,414,136.95,0,1,2,38,26,3
MJ Lumb ,2010-2014,27,27,1,552,63,21.23,413,133.65,0,3,1,64,21,3
DJG Sammy ,2007-2016,66,50,16,534,42,15.7,359,148.74,0,0,3,42,27,3
C Kieswetter ,2010-2012,25,25,1,526,63,21.91,470,111.91,0,3,2,47,23,3
Babar Hayat ,2014-2016,21,21,4,515,122,30.29,392,131.37,1,2,2,42,20,3
V Sibanda ,2007-2016,26,26,1,511,59,20.44,503,101.59,0,1,3,52,11,3
CO Obuya ,2007-2013,26,24,6,507,75,28.16,463,109.5,0,3,3,37,10,3
Karim Sadiq ,2010-2016,34,34,0,505,72,14.85,456,110.74,0,1,4,58,9,3
SC Williams ,2006-2016,24,24,2,501,58,22.77,409,122.49,0,3,2,48,8,3
Imran Nazir ,2007-2012,25,24,1,500,72,21.73,370,135.13,0,3,2,59,22,3
C Munro ,2012-2016,28,25,5,500,73,25,343,145.77,0,3,1,34,31,3
MJ Clarke ,2005-2010,34,28,5,488,67,21.21,473,103.17,0,1,2,29,10,3
Najibullah Zadran ,2012-2016,27,22,6,484,60,30.25,343,141.1,0,1,0,28,25,3
JDP Oram ,2005-2012,36,30,7,474,66,20.6,339,139.82,0,2,3,38,22,3
GJ Bailey ,2012-2016,29,25,7,470,63,26.11,334,140.71,0,2,1,37,20,3
NJ O'Brien ,2008-2016,30,28,2,466,50,17.92,475,98.1,0,1,0,40,7,3
Noor Ali Zadran ,2010-2016,18,18,1,465,63,27.35,472,98.51,0,3,1,39,4,3
JEC Franklin ,2006-2013,38,31,8,463,60,20.13,391,118.41,0,2,2,28,23,3
JD Ryder ,2008-2014,22,21,1,457,62,22.85,358,127.65,0,3,2,47,18,3
Nawroz Mangal ,2010-2015,30,30,3,454,65,16.81,415,109.39,0,2,4,35,18,3
Mohammad Ashraful ,2007-2013,23,23,0,450,65,19.56,356,126.4,0,2,2,48,11,3
Younis Khan ,2006-2010,25,23,3,442,51,22.1,364,121.42,0,2,2,31,12,3
SPD Smith ,2010-2016,30,25,5,431,90,21.55,352,122.44,0,2,1,34,11,3
D Ramdin ,2006-2016,58,38,12,421,55,16.19,364,115.65,0,1,2,39,8,3
PL Mommsen ,2012-2016,24,19,7,419,68,34.91,329,127.35,0,2,1,32,11,3
S Dhawan ,2011-2016,22,22,2,416,60,20.8,367,113.35,0,2,1,49,12,3
MW Machan ,2013-2016,13,13,3,407,67,40.7,318,127.98,0,3,0,37,7,3
EC Joyce ,2006-2014,18,15,3,405,78,33.75,431,93.96,0,1,0,30,5,3
TLW Cooper ,2012-2016,18,17,3,404,72,28.85,306,132.02,0,2,2,38,16,3
BJ Haddin ,2006-2014,34,29,6,402,47,17.47,351,114.52,0,0,2,30,13,3
RT Ponting ,2005-2009,17,16,2,401,98,28.64,302,132.78,0,2,2,41,11,3
HH Gibbs ,2005-2010,23,23,1,400,90,18.18,318,125.78,0,3,4,45,12,3
Gulbadin Naib ,2012-2016,29,26,7,397,56,20.89,320,124.06,0,1,2,28,18,3
V Sehwag ,2006-2012,19,18,0,394,68,21.88,271,145.38,0,2,1,43,16,3
Abdul Razzaq ,2006-2013,32,29,10,393,46,20.68,337,116.61,0,0,2,21,21,3
MS Chapman ,2014-2016,19,18,1,392,63,23.05,347,112.96,0,1,0,34,9,3
Shaiman Anwar ,2014-2016,18,18,1,383,54,22.52,343,111.66,0,1,1,29,15,3
AM Rahane ,2011-2016,20,20,2,375,61,20.83,331,113.29,0,1,2,32,6,3
CS MacLeod ,2009-2016,24,23,2,372,57,17.71,363,102.47,0,3,3,29,9,3
Nasir Hossain ,2011-2016,31,24,4,370,50,18.5,326,113.49,0,2,2,30,7,3
Mashrafe Mortaza ,2006-2016,49,35,10,366,36,14.64,266,137.59,0,0,5,27,23,3
BN Cooper ,2013-2016,23,20,5,365,66,24.33,314,116.24,0,2,2,31,13,3
Nasir Jamshed ,2012-2013,18,18,1,363,56,21.35,320,113.43,0,2,1,34,12,3
Shafiqullah ,2010-2016,30,27,8,360,51,18.94,253,142.29,0,1,2,26,21,3
Sharjeel Khan ,2013-2016,15,15,0,360,59,24,262,137.4,0,2,0,48,13,3
L Ronchi ,2008-2016,29,23,6,359,51,21.11,252,142.46,0,1,2,30,14,3
Anamul Haque ,2012-2015,13,13,2,355,58,32.27,301,117.94,0,1,1,38,12,3
OA Shah ,2007-2009,17,15,1,347,55,24.78,284,122.18,0,1,0,26,13,3
RR Patel ,2008-2013,22,19,2,345,52,20.29,298,115.77,0,1,1,16,20,3
AD Russell ,2011-2016,43,35,11,345,43,14.37,267,129.21,0,0,6,25,18,3
SO Tikolo ,2007-2013,15,15,3,345,56,28.75,281,122.77,0,2,3,46,6,3
S Chanderpaul ,2006-2010,22,22,5,343,41,20.17,347,98.84,0,0,0,34,5,3
Sikandar Raza ,2013-2016,26,25,0,341,59,13.64,329,103.64,0,1,0,28,6,3
Sarfraz Ahmed ,2010-2016,25,16,6,337,76,33.7,274,122.99,0,2,0,35,4,3
A Symonds ,2005-2009,14,11,4,337,85,48.14,199,169.34,0,2,2,33,10,3
RJ Nicol ,2010-2013,21,19,0,327,58,17.21,296,110.47,0,2,2,33,11,3
RR Rossouw ,2014-2016,15,14,3,327,78,29.72,237,137.97,0,2,2,29,12,3
AA Obanda ,2007-2013,24,22,2,325,79,16.25,299,108.69,0,1,3,43,6,3
LE Bosman ,2006-2010,14,14,1,323,94,24.84,219,147.48,0,3,2,27,20,3
CJ Anderson ,2012-2016,25,18,2,315,82,19.68,246,128.04,0,1,3,22,14,3
ML Hayden ,2005-2007,9,9,3,308,73,51.33,214,143.92,0,4,0,37,13,3
JJ Roy ,2014-2016,16,16,0,308,78,19.25,239,128.87,0,1,3,30,13,3
MH Cross ,2013-2016,19,15,1,306,60,21.85,219,139.72,0,1,1,36,11,3
NL McCullum ,2007-2016,63,41,15,299,36,11.5,297,100.67,0,0,4,19,8,3
Soumya Sarkar ,2015-2016,19,19,0,299,48,15.73,267,111.98,0,0,3,35,9,3
RR Sarwan ,2007-2010,18,16,3,298,59,22.92,286,104.19,0,2,1,19,6,3
Nizakat Khan ,2014-2016,20,18,0,295,62,16.38,257,114.78,0,1,3,18,12,3
HDRL Thirimanne ,2012-2016,26,20,2,291,44,16.16,267,108.98,0,0,1,27,5,3
AN Kervezee ,2009-2012,10,10,1,289,58,32.11,262,110.3,0,2,0,19,6,3
A Bagai ,2008-2013,9,9,2,284,67,40.57,249,114.05,0,2,0,27,0,3
AC Gilchrist ,2005-2008,13,13,1,272,48,22.66,192,141.66,0,0,0,27,13,3
Zeeshan Maqsood ,2015-2016,12,11,0,269,52,24.45,208,129.32,0,1,2,36,7,3
MV Boucher ,2005-2010,25,21,6,268,36,17.86,275,97.45,0,0,0,22,2,3
T Taibu ,2007-2012,17,15,6,259,45,28.77,257,100.77,0,0,2,19,2,3
Adnan Ilyas ,2015-2016,12,11,0,258,54,23.45,218,118.34,0,1,0,16,8,3
SE Marsh ,2008-2016,15,15,1,255,47,18.21,248,102.82,0,0,2,15,10,3
Mohammad Shahzad ,2015-2016,15,15,2,252,52,19.38,213,118.3,0,1,2,21,10,3
DT Johnston ,2008-2013,30,19,7,249,62,20.75,184,135.32,0,1,1,13,11,3
RV Uthappa ,2007-2015,13,12,2,249,50,24.9,211,118,0,1,1,26,6,3
Muhammad Usman ,2016-2016,11,11,2,248,49,27.55,226,109.73,0,0,0,27,8,3
UT Khawaja ,2016-2016,9,9,0,241,58,26.77,182,132.41,0,1,0,31,5,3
Anshuman Rath ,2015-2016,17,16,2,240,41,17.14,285,84.21,0,0,1,23,1,3
Rohan Mustafa ,2014-2016,16,15,1,240,77,17.14,221,108.59,0,1,1,23,9,3
MS Wade ,2011-2016,26,17,5,239,72,19.91,218,109.63,0,1,0,11,9,3
J Mubarak ,2007-2009,16,15,4,238,46,21.63,188,126.59,0,0,2,21,8,3
Rizwan Cheema ,2008-2013,16,16,1,238,68,15.86,219,108.67,0,1,3,23,15,3
Khalid Latif ,2008-2016,13,13,2,237,59,21.54,229,103.49,0,1,1,25,6,3
P Khadka ,2014-2015,11,11,1,236,54,23.6,231,102.16,0,1,1,19,1,3
RE Levi ,2012-2012,13,13,2,236,117,21.45,167,141.31,1,1,3,20,15,3
YK Pathan ,2007-2012,22,18,5,236,37,18.15,161,146.58,0,0,3,11,17,3
DM Bravo ,2010-2014,12,11,0,235,42,21.36,210,111.9,0,0,2,20,9,3
ES Szwarczynski ,2008-2013,14,12,1,233,45,21.18,243,95.88,0,0,0,22,2,3
F Behardien ,2012-2016,25,17,7,232,36,23.2,203,114.28,0,0,1,18,5,3
JF Mooney ,2009-2015,27,23,9,231,31,16.5,214,107.94,0,0,0,25,1,3
AR Cusack ,2008-2015,37,21,6,229,65,15.26,177,129.37,0,1,1,17,6,3
CR Ervine ,2010-2015,16,15,0,229,42,15.26,287,79.79,0,0,1,21,2,3
Aftab Ahmed ,2006-2010,11,11,1,228,62,22.8,178,128.08,0,1,0,26,6,3
T Mishra ,2007-2013,15,15,0,227,38,15.13,263,86.31,0,0,2,15,4,3
TAM Siriwardana ,2015-2016,17,15,3,225,42,18.75,168,133.92,0,0,2,14,10,3
MN van Wyk ,2007-2015,8,7,1,225,114,37.5,157,143.31,1,1,0,19,14,3
Sohaib Maqsood ,2013-2016,20,18,2,221,37,13.81,201,109.95,0,0,2,15,8,3
H Patel ,2010-2013,11,11,1,220,88,22,218,100.91,0,1,2,19,2,3
AD Poynter ,2012-2016,19,14,3,219,57,19.9,184,119.02,0,1,1,21,8,3
Tanwir Afzal ,2014-2016,21,18,2,219,56,13.68,173,126.58,0,1,4,9,15,3
TT Bresnan ,2006-2014,34,22,9,216,47,16.61,170,127.05,0,0,3,16,6,3
DO Obuya ,2007-2012,10,10,2,216,65,27,228,94.73,0,2,1,22,4,3
Usman Ghani ,2015-2016,9,9,0,216,69,24,199,108.54,0,2,0,26,5,3
RN ten Doeschate ,2008-2010,9,9,4,214,56,42.8,166,128.91,0,1,0,11,7,3
RG Aga ,2008-2013,20,18,2,213,52,13.31,196,108.67,0,1,0,15,5,3
Amjad Javed ,2014-2016,15,15,2,211,76,16.23,183,115.3,0,1,1,15,10,3
CA Ingram ,2010-2012,9,9,1,210,78,26.25,162,129.62,0,1,1,23,7,3
DL Vettori ,2007-2014,34,22,6,205,38,12.81,190,107.89,0,0,3,14,2,3
JM Kemp ,2005-2007,8,7,3,203,89,50.75,160,126.87,0,1,0,17,10,3
DS Smith ,2007-2009,6,6,0,203,61,33.83,161,126.08,0,2,0,22,5,3
JJ Atkinson ,2014-2016,13,12,0,202,53,16.83,187,108.02,0,1,3,22,6,3
R Gunasekera ,2012-2013,8,8,0,202,65,25.25,188,107.44,0,1,0,23,4,3
J Botha ,2006-2012,40,20,9,201,34,18.27,165,121.81,0,0,1,15,9,3
Jatinder Singh ,2015-2016,11,11,0,200,42,18.18,221,90.49,0,0,0,16,1,3
MM Ali ,2014-2016,19,17,4,199,72,15.3,174,114.36,0,1,6,19,6,3
S Vesawkar ,2014-2015,10,10,0,199,40,19.9,209,95.21,0,0,0,16,3,3
BMAJ Mendis ,2011-2013,16,12,3,197,43,21.88,158,124.68,0,0,1,18,5,3
JM Bairstow ,2011-2016,20,15,4,195,60,17.72,181,107.73,0,1,0,16,5,3
Fawad Alam ,2007-2010,24,17,6,194,28,17.63,169,114.79,0,0,1,7,7,3
KMDN Kulasekara ,2008-2016,50,26,6,193,31,9.65,163,118.4,0,0,4,11,7,3
Asad Shafiq ,2010-2012,10,10,0,192,38,19.2,185,103.78,0,0,0,19,2,3
Mukhtar Ahmed ,2015-2015,6,6,0,192,83,32,134,143.28,0,2,0,23,5,3
HG Munsey ,2015-2016,13,11,2,190,62,21.11,135,140.74,0,1,3,35,2,3
Sohail Tanvir ,2007-2016,54,23,7,190,41,11.87,158,120.25,0,0,2,15,9,3
SR Patel ,2011-2013,18,14,2,189,67,15.75,173,109.24,0,1,2,17,5,3
IR Bell ,2006-2014,8,8,1,188,60,26.85,163,115.33,0,1,0,23,2,3
CD McMillan ,2005-2007,8,7,1,187,57,31.16,117,159.82,0,1,0,8,14,3
SP Patil ,2014-2016,18,13,0,187,37,14.38,218,85.77,0,0,3,16,4,3
BJ Hodge ,2007-2014,15,11,4,183,36,26.14,144,127.08,0,0,0,9,7,3
KL Rahul ,2016-2016,5,4,2,179,110,89.5,112,159.82,1,0,1,17,8,3
Nazimuddin ,2007-2008,7,7,0,178,81,25.42,158,112.65,0,1,2,13,10,3
LPC Silva ,2006-2011,16,15,2,175,38,13.46,177,98.87,0,0,0,19,3,3
NN Odhiambo ,2007-2013,24,20,2,174,41,9.66,177,98.3,0,0,3,17,4,3
L Vincent ,2006-2007,9,9,0,174,42,19.33,174,100,0,0,1,17,3,3
R Mutumbami ,2015-2016,14,14,3,173,43,15.72,168,102.97,0,0,1,11,8,3
IK Pathan ,2006-2012,24,14,7,172,33,24.57,144,119.44,0,0,0,9,7,3
M Vijay ,2010-2015,9,9,0,169,48,18.77,154,109.74,0,0,1,13,8,3
Khawar Ali ,2015-2016,10,9,0,166,38,18.44,181,91.71,0,0,0,18,5,3
ME Trescothick ,2005-2006,3,3,0,166,72,55.33,131,126.71,0,2,0,23,1,3
Umar Gul ,2007-2016,60,27,9,165,32,9.16,156,105.76,0,0,6,11,10,3
TN de Grooth ,2008-2013,15,13,5,163,49,20.37,155,105.16,0,0,0,16,1,3
G Malla ,2014-2015,11,11,0,163,48,14.81,160,101.87,0,0,1,22,2,3
JM Vince ,2015-2016,5,5,0,163,46,32.6,137,118.97,0,0,0,18,4,3
Aamir Kaleem ,2015-2016,11,10,2,161,46,20.12,143,112.58,0,0,2,15,3,3
H Davids ,2012-2013,9,9,0,161,68,17.88,134,120.14,0,2,2,18,4,3
Junaid Siddique ,2007-2012,7,7,0,159,71,22.71,108,147.22,0,1,1,16,7,3
RR Watson ,2007-2010,10,9,0,159,54,17.66,141,112.76,0,1,1,22,1,3
JL Ontong ,2008-2015,14,10,0,158,48,15.8,109,144.95,0,0,1,6,11,3
Mudassar Bukhari ,2008-2016,38,26,8,157,28,8.72,152,103.28,0,0,1,10,4,3
GD Elliott ,2009-2016,16,14,4,157,27,15.7,149,105.36,0,0,0,10,2,3
DSNFG Jayasuriya ,2015-2016,11,10,0,157,40,15.7,141,111.34,0,0,0,11,7,3
Aizaz Khan ,2014-2016,20,17,7,153,31,15.3,152,100.65,0,0,1,11,4,3
HD Rutherford ,2013-2013,7,6,0,151,62,25.16,104,145.19,0,1,0,12,9,3
BA Stokes ,2011-2016,18,15,4,146,31,13.27,102,143.13,0,0,1,14,6,3
JP Faulkner ,2012-2016,21,15,6,142,41,15.77,127,111.81,0,0,0,5,5,3
AC Voges ,2007-2013,7,5,2,139,51,46.33,114,121.92,0,1,0,8,2,3
IJL Trott ,2007-2010,7,7,1,138,51,23,144,95.83,0,1,0,9,3,3
KD Mills ,2005-2014,42,19,7,137,33,11.41,123,111.38,0,0,4,11,5,3
DF Watts ,2007-2012,11,9,0,137,46,15.22,127,107.87,0,0,2,13,3,3
AR White ,2008-2012,18,12,6,137,29,22.83,128,107.03,0,0,0,12,2,3
MR Marsh ,2011-2016,9,9,3,133,36,22.16,104,127.88,0,0,0,6,8,3
GEF Barnett ,2008-2010,5,5,1,131,36,32.75,136,96.32,0,0,0,16,0,3
WU Tharanga ,2006-2012,10,10,0,131,37,13.1,115,113.91,0,0,2,12,3,3
AC Botha ,2008-2010,14,11,1,130,38,13,141,92.19,0,0,2,12,1,3
Naeem Islam ,2008-2013,10,10,1,130,28,14.44,114,114.03,0,0,0,8,7,3
CJ Jordan ,2014-2016,19,12,4,128,27,16,110,116.36,0,0,0,11,5,3
Mirwais Ashraf ,2010-2016,25,19,8,128,28,11.63,115,111.3,0,0,2,5,8,3
CK Coventry ,2010-2015,13,12,2,127,30,12.7,90,141.11,0,0,2,14,6,3
PG Fulton ,2006-2012,12,12,1,127,25,11.54,140,90.71,0,0,2,7,6,3
MA Ouma ,2007-2013,22,19,1,127,19,7.05,160,79.37,0,0,3,15,1,3
MJ Prior ,2007-2010,10,8,2,127,32,21.16,100,127,0,0,1,11,5,3
SP Narine ,2012-2016,39,16,8,126,30,15.75,92,136.95,0,0,2,11,5,3
AJ Redmond ,2009-2010,7,6,0,126,63,21,84,150,0,1,0,19,2,4
RE van der Merwe ,2009-2016,21,12,5,125,48,17.85,102,122.54,0,0,1,5,7,4
TWM Latham ,2012-2015,12,9,0,124,26,13.77,121,102.47,0,0,0,9,1,4
RJ Peterson ,2006-2014,21,12,4,124,34,15.5,113,109.73,0,0,1,13,2,4
AD Mascarenhas ,2007-2009,14,13,5,123,31,15.37,100,123,0,0,3,8,5,4
RR Hendricks ,2014-2015,5,5,0,121,49,24.2,117,103.41,0,0,1,13,1,4
DR Martyn ,2005-2006,4,4,0,120,96,30,74,162.16,0,1,0,11,5,4
PJ Moor ,2016-2016,8,7,2,120,35,24,108,111.11,0,0,0,4,8,4
DM de Silva ,2015-2016,4,4,0,119,62,29.75,105,113.33,0,1,0,8,0,4
SCJ Broad ,2006-2014,56,26,10,118,18,7.37,118,100,0,0,2,7,3,4
Ziaur Rahman ,2012-2014,14,12,3,117,40,13,91,128.57,0,0,3,3,10,4
Babar Azam ,2016-2016,4,4,3,116,55,116,90,128.88,0,1,0,11,2,4
Shahzaib Hasan ,2009-2010,10,10,0,116,35,11.6,130,89.23,0,0,3,13,3,4
A Vala ,2015-2016,6,6,1,116,34,23.2,130,89.23,0,0,0,10,3,4
DL Maddy ,2007-2007,4,4,0,113,50,28.25,80,141.25,0,1,0,12,3,4
R Ashwin ,2010-2016,45,10,6,112,31,28,108,103.7,0,0,0,13,1,4
SP Khakurel ,2014-2015,8,8,0,112,56,14,139,80.57,0,1,0,10,1,4
MD Shanaka ,2015-2016,11,11,1,112,27,11.2,113,99.11,0,0,1,5,8,4
AP Devcich ,2013-2014,4,4,0,111,59,27.75,79,140.5,0,1,0,17,2,4
E Lewis ,2016-2016,5,5,0,111,100,22.2,71,156.33,1,0,1,6,9,4
SP Fleming ,2005-2006,5,5,0,110,38,22,85,129.41,0,0,0,20,0,4
Anwar Ali ,2008-2016,16,11,4,109,46,15.57,77,141.55,0,0,0,6,6,4
MG Johnson ,2007-2013,30,17,7,109,28,10.9,95,114.73,0,0,2,8,3,4
Harbhajan Singh ,2006-2016,28,13,5,108,21,13.5,87,124.13,0,0,1,11,4,4
B Zuiderent ,2009-2010,6,6,1,108,43,21.6,124,87.09,0,0,0,8,1,4
Mohammad Rizwan ,2015-2016,10,7,1,106,33,17.66,109,97.24,0,0,0,9,1,4
JR Hopes ,2005-2010,12,7,2,105,30,21,98,107.14,0,0,0,7,1,4
WD Parnell ,2009-2015,35,9,6,104,29,34.66,85,122.35,0,0,0,9,3,4
GP Swann ,2008-2012,39,16,11,104,34,20.8,89,116.85,0,0,2,9,1,4
RA Jadeja ,2009-2016,39,17,5,103,25,8.58,116,88.79,0,0,2,6,1,4
SM Davies ,2009-2011,5,5,0,102,33,20.4,82,124.39,0,0,0,12,0,4
MA Leask ,2013-2016,13,9,0,102,58,11.33,96,106.25,0,1,1,7,5,4
JDS Neesham ,2012-2015,13,10,3,102,28,14.57,76,134.21,0,0,1,12,3,4
B Lee ,2005-2012,25,12,6,101,43,16.83,71,142.25,0,0,2,9,4,4
Wahab Riaz ,2008-2016,23,12,4,101,30,12.62,95,106.31,0,0,2,8,3,4
S Dhaniram ,2008-2010,11,9,0,100,26,11.11,123,81.3,0,0,0,6,2,4
KD Karthik ,2006-2010,9,8,2,100,31,16.66,88,113.63,0,0,1,14,1,4
SW Billings ,2015-2016,7,6,0,99,53,16.5,66,150,0,1,0,9,4,4
CR Brathwaite ,2011-2016,13,9,2,99,34,14.14,60,165,0,0,1,5,9,4
Amir Ali ,2015-2016,10,8,3,97,32,19.4,65,149.23,0,0,0,11,2,4
NR Kumar ,2012-2013,6,6,0,97,38,16.16,95,102.1,0,0,0,10,1,4
Muhammad Kaleem ,2016-2016,9,9,0,97,50,10.77,116,83.62,0,1,1,9,3,4
AM Samad ,2008-2010,7,6,0,97,29,16.16,88,110.22,0,0,1,8,4,4
XM Marshall ,2008-2009,6,6,0,96,36,16,77,124.67,0,0,1,8,4,4
RS Morton ,2006-2010,7,7,1,96,40,16,103,93.2,0,0,1,8,2,4
MJG Rippon ,2013-2016,14,7,3,96,25,24,91,105.49,0,0,1,4,1,4
MH Yardy ,2006-2011,14,8,5,96,35,32,72,133.33,0,0,3,9,1,4
TM Odoyo ,2007-2013,11,10,0,95,22,9.5,119,79.83,0,0,1,6,2,4
NS Poonia ,2007-2010,8,7,2,95,38,19,108,87.96,0,0,2,3,1,4
JH Stander ,2009-2012,11,11,2,94,45,10.44,90,104.44,0,0,3,6,4,4
P Utseya ,2006-2015,35,21,9,94,13,7.83,115,81.73,0,0,3,6,1,4
Mohammad Naveed ,2015-2016,14,12,5,92,19,13.14,88,104.54,0,0,1,8,4,4
MC Sorensen ,2012-2016,26,11,6,92,26,18.4,79,116.45,0,0,1,4,3,4
D Wiese ,2013-2016,20,11,4,92,28,13.14,75,122.66,0,0,1,4,3,4
Yasir Arafat ,2007-2012,13,11,4,92,17,13.14,79,116.45,0,0,0,8,2,4
MD Gunathilaka ,2016-2016,5,5,0,91,46,18.2,76,119.73,0,0,0,8,3,4
KM Jadhav ,2015-2016,5,4,0,91,58,22.75,68,133.82,0,1,0,9,2,4
Raees Ahmadzai ,2010-2010,8,6,3,91,33,30.33,84,108.33,0,0,0,5,1,4
Saeed Ajmal ,2009-2015,64,23,12,91,21,8.27,86,105.81,0,0,3,7,2,4
CR Woakes ,2011-2015,8,7,4,91,37,30.33,63,144.44,0,0,1,4,5,4
CJA Amini ,2015-2016,6,5,1,90,37,22.5,97,92.78,0,0,0,4,1,4
GM Hamilton ,2007-2010,12,8,0,90,32,11.25,110,81.81,0,0,0,6,1,4
Sagar Pun ,2014-2015,9,9,0,90,20,10,100,90,0,0,0,13,0,4
DLS van Bunge ,2008-2013,14,12,4,90,24,11.25,104,86.53,0,0,2,2,3,4
GH Worker ,2015-2015,2,2,0,90,62,45,64,140.62,0,1,0,6,5,4
Mandeep Singh ,2016-2016,3,3,1,87,52,43.5,73,119.17,0,1,0,11,1,4
DI Allan ,2012-2013,10,10,0,86,18,8.6,135,63.7,0,0,0,7,0,4
GJ Hopkins ,2007-2010,10,8,0,86,36,10.75,71,121.12,0,0,0,5,5,4
Imad Wasim ,2015-2016,15,9,4,86,24,17.2,55,156.36,0,0,2,6,4,4
T Maruma ,2008-2016,10,10,4,86,23,14.33,83,103.61,0,0,1,6,3,4
SM Pollock ,2005-2008,12,9,2,86,36,12.28,70,122.85,0,0,3,4,4,4
Shamsur Rahman ,2013-2014,9,8,0,86,53,10.75,85,101.17,0,1,2,12,1,4
Sultan Ahmed ,2015-2016,13,9,2,86,37,12.28,68,126.47,0,0,3,12,0,4
Mohammad Mithun ,2014-2016,12,8,0,85,47,10.62,93,91.39,0,0,2,6,3,4
Sompal Kami ,2014-2015,11,7,2,85,40,17,78,108.97,0,0,0,9,3,4
RML Taylor ,2013-2016,9,6,3,85,41,28.33,58,146.55,0,0,0,6,4,4
A Balbirnie ,2015-2016,10,7,0,84,31,12,94,89.36,0,0,1,9,0,4
JE Taylor ,2006-2016,23,12,6,84,21,14,75,112,0,0,1,7,3,4
JK Kamande ,2007-2010,12,9,0,83,42,9.22,92,90.21,0,0,2,5,3,4
N Vanua ,2015-2016,6,5,3,83,28,41.5,48,172.91,0,0,0,3,7,4
AS Hansra ,2012-2013,8,8,2,82,30,13.66,85,96.47,0,0,0,4,3,4
TM Head ,2016-2016,4,4,1,82,45,27.33,52,157.69,0,0,0,5,5,4
SW Poynter ,2015-2016,10,8,0,82,35,10.25,87,94.25,0,0,0,5,2,4
Faizan Asif ,2014-2015,6,6,0,80,28,13.33,64,125,0,0,0,9,3,4
Waqas Barkat ,2014-2016,10,8,1,80,32,11.42,92,86.95,0,0,1,10,0,4
CD Barnwell ,2011-2013,6,6,2,78,34,19.5,62,125.8,0,0,1,4,4,4
HH Pandya ,2016-2016,16,7,0,78,31,11.14,56,139.28,0,0,1,7,4,4
DAJ Bracewell ,2011-2015,14,8,5,77,21,25.66,56,137.5,0,0,1,5,4,4
KD Shah ,2014-2016,15,11,2,77,29,8.55,98,78.57,0,0,3,7,1,4
ML Udawatte ,2008-2009,5,5,0,77,25,15.4,64,120.31,0,0,1,8,2,4
A Flintoff ,2005-2007,7,7,1,76,31,12.66,60,126.66,0,0,1,7,2,4
Imran Farhat ,2010-2011,7,7,0,76,19,10.85,70,108.57,0,0,1,14,0,4
Irfan Ahmed ,2014-2015,8,8,0,76,34,9.5,83,91.56,0,0,2,4,6,4
NFI McCallum ,2007-2010,11,7,0,76,38,10.85,85,89.41,0,0,3,7,1,4
S Matsikenyeri ,2006-2012,10,10,0,76,32,7.6,82,92.68,0,0,2,6,3,4
VS Solanki ,2005-2007,3,3,0,76,43,25.33,61,124.59,0,0,0,10,1,4
Umar Amin ,2013-2014,10,6,0,76,47,12.66,72,105.55,0,0,2,12,0,4
TG Southee ,2008-2015,38,15,5,75,23,7.5,69,108.69,0,0,2,6,3,4
NJ Astle ,2005-2006,4,4,1,74,40,24.66,67,110.44,0,0,0,7,2,4
KO Otieno ,2008-2008,4,4,0,74,40,18.5,79,93.67,0,0,0,5,2,4
Khurram Khan ,2014-2014,3,3,0,73,31,24.33,73,100,0,0,0,8,0,4
AJ Strauss ,2005-2009,4,4,0,73,33,18.25,64,114.06,0,0,1,9,0,4
DJ Willey ,2015-2016,12,8,3,73,21,14.6,59,123.72,0,0,1,2,5,4
Farhad Reza ,2006-2014,13,9,0,72,19,8,88,81.81,0,0,1,4,2,4
SL Malinga ,2006-2016,62,18,7,71,27,6.45,87,81.6,0,0,4,3,3,4
Awais Zia ,2012-2014,5,5,0,70,23,14,80,87.5,0,0,0,4,3,4
SM Katich ,2005-2006,3,2,0,69,39,34.5,47,146.8,0,0,0,8,2,4
Mehran Khan ,2015-2016,11,8,2,69,28,11.5,64,107.81,0,0,0,4,3,4
SR Thompson ,2014-2016,17,11,3,69,26,8.62,64,107.81,0,0,1,6,2,4
TM Dowlin ,2009-2010,2,2,1,68,37,68,69,98.55,0,0,0,8,0,4
NT Broom ,2009-2013,10,6,1,67,36,13.4,61,109.83,0,0,0,7,1,4
Imrul Kayes ,2010-2016,8,8,0,67,22,8.37,89,75.28,0,0,2,8,2,4
MK Pandey ,2015-2016,6,4,0,67,48,16.75,58,115.51,0,0,2,2,4,4
AG Cremer ,2008-2016,27,18,6,65,17,5.41,93,69.89,0,0,2,2,0,4
CA Lynn ,2014-2016,5,4,1,65,33,21.66,48,135.41,0,0,0,3,4,4
Shoaib Khan jnr ,2008-2008,4,4,0,65,50,16.25,74,87.83,0,1,1,7,0,4
RM Haq ,2007-2013,21,12,7,64,21,12.8,96,66.66,0,0,1,2,1,4
DP Hyatt ,2011-2012,5,5,1,64,28,16,54,118.51,0,0,0,4,4,4
DJ Reekers ,2008-2009,6,5,0,64,29,12.8,49,130.61,0,0,1,10,2,4
